epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.56906,1.73049,2.80697,1.36319,0.59783,0.96923,0.68036,0.49516,1.00921,1.74674,1.07902,0.00024,0.00024,0.00024
2,15.3866,1.40002,1.00558,1.20114,0,0,0,0,1.67208,inf,1.56884,0.00049505,0.00049505,0.00049505
3,23.7228,1.32998,0.83989,1.19168,0.00443,0.12308,0.0025,0.00053,4.02792,225.724,7.54711,0.000744952,0.000744952,0.000744952
4,33.1331,1.3019,0.76339,1.21817,0,0,0,0,nan,nan,nan,0.000989706,0.000989706,0.000989706
5,41.8949,1.24075,0.71072,1.17798,0,0,0,0,nan,nan,nan,0.00122931,0.00122931,0.00122931
6,50.8069,1.26273,0.70494,1.18156,0,0,0,0,0,0.94922,0,0.00146377,0.00146377,0.00146377
7,59.4127,1.23551,0.68728,1.20424,0.01145,0.49231,0.00937,0.00374,2.86327,inf,5.91349,0.00169308,0.00169308,0.00169308
8,68.1611,1.28231,0.68455,1.20796,0.00686,0.10769,0.00404,0.00152,3.13321,6.50677,2.74172,0.0018614,0.0018614,0.0018614
9,76.9367,1.24987,0.65805,1.19458,0.00201,0.04615,0.00057,7e-05,4.65428,154.635,31.7864,0.0018416,0.0018416,0.0018416
10,85.6707,1.19335,0.65605,1.18441,0.00152,0.07692,0.00082,0.00016,3.84621,11.1548,12.5096,0.0018218,0.0018218,0.0018218
11,94.2929,1.20466,0.65374,1.17714,0.0258,0.06154,0.01979,0.00545,4.37173,5.39752,3.5341,0.001802,0.001802,0.001802
