epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.6422,1.69978,3.12402,1.35819,0.04395,1,0.04561,0.03055,1.01987,54.2945,0.99006,0.00024,0.00024,0.00024
2,15.8575,1.36823,0.9888,1.24066,0.88076,0.75385,0.77756,0.26756,2.07839,2.13615,1.71226,0.00049505,0.00049505,0.00049505
3,23.9258,1.29595,0.76399,1.20428,0.0037,0.18462,0.00217,0.00054,2.57481,inf,2.89162,0.000744952,0.000744952,0.000744952
4,31.8521,1.26548,0.7026,1.22549,0.02384,0.2,0.01264,0.00339,nan,nan,nan,0.000989706,0.000989706,0.000989706
5,39.6578,1.22656,0.67417,1.18765,0.58668,0.21538,0.28782,0.13406,2.38,2.12122,2.37842,0.00122931,0.00122931,0.00122931
6,47.4253,1.23153,0.66495,1.21312,0.00061,0.03077,0.00031,9e-05,4.40227,118.037,13.3858,0.00146377,0.00146377,0.00146377
7,55.0882,1.18828,0.64882,1.17576,0,0,0,0,5.24626,204.276,10.3921,0.00169308,0.00169308,0.00169308
8,62.8614,1.22761,0.66361,1.18857,0.03782,0.49231,0.02662,0.01165,2.10311,87.0012,3.14243,0.0018614,0.0018614,0.0018614
9,70.5928,1.2261,0.66258,1.207,0.89711,0.93896,0.93658,0.4962,1.48887,1.21214,1.55462,0.0018416,0.0018416,0.0018416
10,78.4932,1.21194,0.65415,1.23328,0.63876,0.63077,0.62561,0.29003,1.96578,1.45531,2.01277,0.0018218,0.0018218,0.0018218
11,86.2729,1.19094,0.63275,1.18803,0.89906,0.89231,0.91473,0.49137,1.63844,0.99853,1.62328,0.001802,0.001802,0.001802
12,94.0154,1.16452,0.63133,1.19361,0.71039,0.46154,0.44913,0.25849,1.80999,1.37016,2.084,0.0017822,0.0017822,0.0017822
13,101.747,1.16914,0.62087,1.21416,0.43685,0.46154,0.36408,0.11703,2.91223,1.65934,3.07207,0.0017624,0.0017624,0.0017624
14,109.473,1.16808,0.6148,1.21009,0.46273,0.38427,0.35373,0.07172,3.46478,1.94024,3.35607,0.0017426,0.0017426,0.0017426
15,117.174,1.12538,0.60579,1.17734,0.7493,0.75385,0.75971,0.18098,2.97024,1.23325,3.58314,0.0017228,0.0017228,0.0017228
16,124.933,1.13729,0.59838,1.18131,0.66029,0.73846,0.70416,0.28207,2.18893,2.43261,1.9735,0.001703,0.001703,0.001703
17,132.644,1.13418,0.57132,1.17322,0.78459,0.89663,0.90068,0.47921,1.41788,3.07515,1.46142,0.0016832,0.0016832,0.0016832
18,140.367,1.09737,0.55063,1.1381,0.00351,0.01538,0.00043,4e-05,4.89959,4.44756,6.43629,0.0016634,0.0016634,0.0016634
19,148.069,1.02163,0.53354,1.12019,0.0177,0.06154,0.01021,0.00171,4.79221,3.29048,5.68844,0.0016436,0.0016436,0.0016436
